#WARNING:  Flow-histogram is invalid for n.failures>0 (i.e., this output) in the current version of INRFlow
#Histograms for ./dragonfly-cir_p2_a3_h2_valiant_sequential_fr0.00_seed42.2025.10.27.23.00_hist.dat.
#hi,pi,fi are indices for h, p and f, respectively. *n is normalized so that the bars add up to 1.
#h: Server hop length histogram (server hop path length, number of occurrences)
#p: Path length histogram (path length, number of occurrences)
#f: Flows histogram (number of flows, number of uni-directional links with this many flows)
       hi         h     nh        pi         p     np        fi         f     nf
        0        13 0.02600         0        13 0.02600         5         3 0.01786 
        1       487 0.97400         2        10 0.02000         6         1 0.00595 
      nan       nan     nan         3        58 0.11600         7         4 0.02381 
      nan       nan     nan         4        64 0.12800         8         9 0.05357 
      nan       nan     nan         5       115 0.23000         9         9 0.05357 
      nan       nan     nan         6       127 0.25400        10        11 0.06548 
      nan       nan     nan         7       113 0.22600        11        11 0.06548 
      nan       nan     nan       nan       nan     nan        12        11 0.06548 
      nan       nan     nan       nan       nan     nan        13        11 0.06548 
      nan       nan     nan       nan       nan     nan        14         5 0.02976 
      nan       nan     nan       nan       nan     nan        15        13 0.07738 
      nan       nan     nan       nan       nan     nan        16        12 0.07143 
      nan       nan     nan       nan       nan     nan        17        12 0.07143 
      nan       nan     nan       nan       nan     nan        18         7 0.04167 
      nan       nan     nan       nan       nan     nan        19         8 0.04762 
      nan       nan     nan       nan       nan     nan        20         9 0.05357 
      nan       nan     nan       nan       nan     nan        21         5 0.02976 
      nan       nan     nan       nan       nan     nan        22         6 0.03571 
      nan       nan     nan       nan       nan     nan        23         9 0.05357 
      nan       nan     nan       nan       nan     nan        24         6 0.03571 
      nan       nan     nan       nan       nan     nan        25         1 0.00595 
      nan       nan     nan       nan       nan     nan        26         1 0.00595 
      nan       nan     nan       nan       nan     nan        27         3 0.01786 
      nan       nan     nan       nan       nan     nan        31         1 0.00595 
