#WARNING:  Flow-histogram is invalid for n.failures>0 (i.e., this output) in the current version of INRFlow
#Histograms for ./dragonfly-cir_p2_a3_h2_quick-valiant-private_sequential_fr0.00_seed42.2025.10.27.23.02_hist.dat.
#hi,pi,fi are indices for h, p and f, respectively. *n is normalized so that the bars add up to 1.
#h: Server hop length histogram (server hop path length, number of occurrences)
#p: Path length histogram (path length, number of occurrences)
#f: Flows histogram (number of flows, number of uni-directional links with this many flows)
       hi         h     nh        pi         p     np        fi         f     nf
        0        13 0.02600         0        13 0.02600         5         3 0.01786 
        1       487 0.97400         2        16 0.03200         6         1 0.00595 
      nan       nan     nan         3        60 0.12000         7        10 0.05952 
      nan       nan     nan         4        80 0.16000         8         4 0.02381 
      nan       nan     nan         5       134 0.26800         9        10 0.05952 
      nan       nan     nan         6       197 0.39400        10        10 0.05952 
      nan       nan     nan       nan       nan     nan        11        16 0.09524 
      nan       nan     nan       nan       nan     nan        12        17 0.10119 
      nan       nan     nan       nan       nan     nan        13        13 0.07738 
      nan       nan     nan       nan       nan     nan        14        14 0.08333 
      nan       nan     nan       nan       nan     nan        15         8 0.04762 
      nan       nan     nan       nan       nan     nan        16        11 0.06548 
      nan       nan     nan       nan       nan     nan        17         9 0.05357 
      nan       nan     nan       nan       nan     nan        18         5 0.02976 
      nan       nan     nan       nan       nan     nan        19        10 0.05952 
      nan       nan     nan       nan       nan     nan        20        10 0.05952 
      nan       nan     nan       nan       nan     nan        21         6 0.03571 
      nan       nan     nan       nan       nan     nan        22         5 0.02976 
      nan       nan     nan       nan       nan     nan        24         2 0.01190 
      nan       nan     nan       nan       nan     nan        25         1 0.00595 
      nan       nan     nan       nan       nan     nan        28         1 0.00595 
      nan       nan     nan       nan       nan     nan        29         1 0.00595 
      nan       nan     nan       nan       nan     nan        31         1 0.00595 
